Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,39.709999,40.369999,39.259998,39.259998,36.900444,38700
2020-07-14,39.446999,39.970001,39.446999,39.970001,37.567783,27000
2020-07-15,40.389999,41.950001,40.389999,41.779999,39.268997,45800
2020-07-16,41.740002,41.970001,41.275002,41.610001,39.109203,70200
2020-07-17,41.910000,41.910000,41.200001,41.240002,38.761444,35100
2020-07-20,40.799999,40.840000,40.619999,40.680000,38.235104,27000
2020-07-21,41.650002,42.250000,41.590000,42.080002,39.550964,66300
2020-07-22,41.761002,42.029999,41.761002,41.980000,39.456963,20400
2020-07-23,42.000000,42.681999,42.000000,42.439999,39.889320,45400
2020-07-24,42.290001,42.549999,41.939999,41.992001,39.468250,29800
2020-07-27,42.110001,42.150002,41.709999,42.139999,39.607353,11900
2020-07-28,42.150002,42.200001,41.740002,41.779999,39.268997,17600
2020-07-29,42.189999,42.806999,42.105000,42.740002,40.171295,26600
2020-07-30,42.509998,42.509998,41.849998,42.180000,39.644958,12700
2020-07-31,42.000000,42.000000,40.970001,41.599998,39.099808,28900
2020-08-03,41.990002,42.384998,41.895000,42.290001,39.748344,27100
2020-08-04,42.294998,42.689999,42.230000,42.689999,40.124298,36900
2020-08-05,43.105000,43.680000,43.101002,43.680000,41.054810,24000
2020-08-06,43.720001,43.720001,43.419998,43.520000,40.904419,18200
2020-08-07,43.580002,44.500000,43.580002,44.500000,41.825516,28500
2020-08-10,45.049999,45.758999,45.049999,45.549999,42.812416,30000
2020-08-11,46.139999,46.715000,45.700001,45.810001,43.056789,32300
2020-08-12,46.340000,46.340000,45.680000,46.139999,43.366955,591200
2020-08-13,45.750000,46.009998,45.480000,45.595001,42.854710,24000
2020-08-14,45.180000,46.209999,45.180000,46.000000,43.235371,48900
2020-08-17,46.070000,46.070000,45.750000,45.840000,43.084984,34300
2020-08-18,46.090000,46.090000,45.049999,45.130001,42.417652,84600
2020-08-19,45.299999,45.680000,45.029999,45.105000,42.394161,41600
2020-08-20,44.612999,44.876999,44.528000,44.540001,41.863113,24700
2020-08-21,44.560001,44.590000,44.000000,44.160000,41.505947,23600
2020-08-24,44.840000,45.360001,44.830002,45.349998,42.624432,13500
2020-08-25,45.790001,45.790001,45.025002,45.410000,42.680820,21800
2020-08-26,45.660000,45.660000,44.974998,44.974998,42.271969,53100
2020-08-27,45.349998,45.509998,45.139999,45.424999,42.694923,13700
2020-08-28,45.529999,45.785000,45.439999,45.770000,43.019196,15200
2020-08-31,46.000000,46.000000,45.014999,45.060001,42.351860,23000
2020-09-01,45.000000,45.680000,45.000000,45.680000,42.934605,23900
2020-09-02,45.520000,46.110001,45.520000,46.009998,43.244759,45800
2020-09-03,46.110001,46.141998,44.930000,45.020000,42.314274,28300
2020-09-04,45.650002,45.764999,44.500000,45.212002,42.494728,35500
2020-09-08,44.349998,44.830002,44.044998,44.099998,41.449554,12700
2020-09-09,44.340000,44.709999,44.250000,44.529999,41.853718,17000
2020-09-10,44.830002,44.830002,43.880001,43.883999,41.246532,18500
2020-09-11,43.865002,44.040001,43.634998,43.820000,41.186390,17300
2020-09-14,44.540001,44.799999,44.528999,44.766998,42.076473,9900
2020-09-15,44.665001,44.930000,44.555000,44.580002,41.900719,22600
2020-09-16,45.049999,45.710999,44.730000,45.090000,42.380058,45900
2020-09-17,44.570000,45.099998,44.320000,44.965000,42.262569,17200
